Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,AspectRatio,CameraDepth,FOV,EyeConvergence,Velocity,
04-15-41-399, 35, 0.05694544, 0.951278, 0.04890475, -0.2990581, 352.6977, 214.6117, 4.5735, 1.777778, -1, 110.0686, 10, 0
04-15-41-431, 36, 0.05702868, 0.950161, 0.05057194, -0.3022982, 352.4968, 215.0022, 4.500578, 1.777778, -1, 110.0686, 10, 0
04-15-41-465, 37, 0.05388263, 0.9495277, 0.05082647, -0.3048123, 352.5668, 215.3267, 4.125746, 1.777778, -1, 110.0686, 10, 0
04-15-41-497, 38, 0.05153799, 0.9485443, 0.0509964, -0.3082321, 352.6161, 215.7559, 3.835341, 1.777778, -1, 110.0686, 10, 0
04-15-41-531, 39, 0.05219246, 0.9478133, 0.05067326, -0.3104161, 352.6194, 216.0163, 3.901509, 1.777778, -1, 110.0686, 10, 0
04-15-41-564, 40, 0.05405045, 0.9469929, 0.04987485, -0.3127228, 352.6305, 216.2841, 4.115635, 1.777778, -1, 110.0686, 10, 0
04-15-41-599, 41, 0.05843158, 0.9461266, 0.0476579, -0.3148952, 352.7049, 216.5204, 4.658134, 1.777778, -1, 110.0686, 10, 0
04-15-41-632, 42, 0.0628693, 0.9454506, 0.04392514, -0.3166089, 352.9424, 216.704, 5.264907, 1.777778, -1, 110.0686, 10, 0
04-15-41-663, 43, 0.06573553, 0.9455888, 0.04052727, -0.3160667, 353.2119, 216.6262, 5.704372, 1.777778, -1, 110.0686, 10, 0
04-15-41-697, 44, 0.06808268, 0.9465372, 0.03842155, -0.312979, 353.3761, 216.2427, 6.058269, 1.777778, -1, 110.0686, 10, 0
04-15-41-732, 45, 0.06993814, 0.9474333, 0.03804634, -0.3098891, 353.3711, 215.859, 6.29666, 1.777778, -1, 110.0686, 10, 0
04-15-41-765, 46, 0.06907612, 0.9482073, 0.03844201, -0.3076582, 353.373, 215.5931, 6.203784, 1.777778, -1, 110.0686, 10, 0
04-15-41-797, 47, 0.06773439, 0.9484906, 0.03861428, -0.3070613, 353.4052, 215.5282, 6.054526, 1.777778, -1, 110.0686, 10, 0
04-15-41-832, 48, 0.06678449, 0.9488767, 0.03804659, -0.3061461, 353.5063, 215.4243, 5.976056, 1.777778, -1, 110.0686, 10, 0
04-15-41-864, 49, 0.06797075, 0.9490704, 0.03715154, -0.3053935, 353.5674, 215.3289, 6.142407, 1.777778, -1, 110.0686, 10, 0
04-15-41-897, 50, 0.06971569, 0.9493572, 0.03609305, -0.3042333, 353.6299, 215.1821, 6.378422, 1.777778, -1, 110.0686, 10, 0
04-15-41-932, 51, 0.0707469, 0.9498075, 0.03480707, -0.3027358, 353.7449, 214.9996, 6.54571, 1.777778, -1, 110.0686, 10, 0
04-15-41-964, 52, 0.07055139, 0.9503539, 0.0332303, -0.3012402, 353.9344, 214.8254, 6.58743, 1.777778, -1, 110.0686, 10, 0
04-15-41-997, 53, 0.0708969, 0.9506773, 0.03171343, -0.3003008, 354.095, 214.7156, 6.682679, 1.777778, -1, 110.0686, 10, 0
04-15-42-039, 54, 0.07129346, 0.9510363, 0.02981372, -0.2992629, 354.2966, 214.5955, 6.796709, 1.777778, -1, 110.0686, 10, 0
04-15-42-075, 55, 0.07305169, 0.9518849, 0.02685971, -0.2964073, 354.5809, 214.2554, 7.1059, 1.777778, -1, 110.0686, 10, 0
04-15-42-109, 56, 0.07406983, 0.9525372, 0.02497348, -0.2942157, 354.7696, 213.9958, 7.292914, 1.777778, -1, 110.0686, 10, 0
04-15-42-142, 57, 0.07492243, 0.9531369, 0.02319706, -0.2921962, 354.9512, 213.758, 7.456301, 1.777778, -1, 110.0686, 10, 0
04-15-42-175, 58, 0.07490996, 0.9538345, 0.02118029, -0.2900683, 355.1894, 213.513, 7.531873, 1.777778, -1, 110.0686, 10, 0
04-15-42-207, 59, 0.07656291, 0.9545041, 0.01925612, -0.2875575, 355.3659, 213.2156, 7.78914, 1.777778, -1, 110.0686, 10, 0
04-15-42-252, 60, 0.07968503, 0.9560053, 0.01633489, -0.2818463, 355.6327, 212.5375, 8.254343, 1.777778, -1, 110.0686, 10, 0
04-15-42-285, 61, 0.07953396, 0.9564754, 0.01492082, -0.2803685, 355.8056, 212.3705, 8.288873, 1.777778, -1, 110.0686, 10, 0
04-15-42-319, 62, 0.08000918, 0.9569956, 0.01394075, -0.2785025, 355.9143, 212.1524, 8.38026, 1.777778, -1, 110.0686, 10, 0
04-15-42-353, 63, 0.08137369, 0.9572338, 0.01405889, -0.27728, 355.8687, 212.0009, 8.532844, 1.777778, -1, 110.0686, 10, 0
04-15-42-388, 64, 0.08351987, 0.9575659, 0.01393302, -0.2754956, 355.8308, 211.7812, 8.782188, 1.777778, -1, 110.0686, 10, 0
04-15-42-419, 65, 0.08627405, 0.9576517, 0.01536832, -0.2742695, 355.5977, 211.6147, 9.048756, 1.777778, -1, 110.0686, 10, 0
04-15-42-453, 66, 0.08894967, 0.9577459, 0.01796683, -0.2729249, 355.2408, 211.4253, 9.272533, 1.777778, -1, 110.0686, 10, 0
04-15-42-487, 67, 0.09151444, 0.9582315, 0.01960674, -0.2702463, 355.0067, 211.0836, 9.521314, 1.777778, -1, 110.0686, 10, 0
04-15-42-531, 68, 0.09422801, 0.9589613, 0.022082, -0.2665083, 354.6881, 210.6084, 9.769253, 1.777778, -1, 110.0686, 10, 0
04-15-42-565, 69, 0.09664265, 0.9597492, 0.02289795, -0.2627118, 354.5642, 210.1395, 10.03548, 1.777778, -1, 110.0686, 10, 0
04-15-42-598, 70, 0.09750466, 0.9605223, 0.02499597, -0.2593551, 354.3417, 209.7208, 10.09022, 1.777778, -1, 110.0686, 10, 0
04-15-42-629, 71, 0.09714269, 0.9620194, 0.0271786, -0.2536598, 354.1701, 209.0309, 10.02152, 1.777778, -1, 110.0686, 10, 0
04-15-42-661, 72, 0.09490114, 0.9637713, 0.02963788, -0.247508, 354.0244, 208.2964, 9.739798, 1.777778, -1, 110.0686, 10, 0
04-15-42-697, 73, 0.0916336, 0.9658025, 0.03127912, -0.2405212, 354.0017, 207.4765, 9.372065, 1.777778, -1, 110.0686, 10, 0
04-15-42-731, 74, 0.08630688, 0.9682389, 0.03137247, -0.2325518, 354.2094, 206.564, 8.819509, 1.777778, -1, 110.0686, 10, 0
04-15-42-763, 75, 0.08003453, 0.971155, 0.02903768, -0.2227315, 354.7183, 205.4543, 8.228678, 1.777778, -1, 110.0686, 10, 0
04-15-42-797, 76, 0.07664003, 0.9740239, 0.02530621, -0.2115735, 355.3121, 204.1826, 7.993189, 1.777778, -1, 110.0686, 10, 0
